Panel,Sensitivity,Mult. Reg. #1,Mult. Reg. #2,Mult. Reg. Log,Nonpara.,Single Reg.
"Corr=-0.5, Noise=0.0",P,1.17,0.45,7.58,9.49,10.2
"Corr=-0.5, Noise=0.0",PET,-1.39,3.23,2.82,313.33,313.73
"Corr=-0.5, Noise=0.025",P,-1.74,-0.6,6.4,6.05,7.17
"Corr=-0.5, Noise=0.025",PET,-7.16,-13.85,-13.72,231.93,231.33
"Corr=0.0, Noise=0.0",P,0.37,0.09,5.79,-0.48,0.1
"Corr=0.0, Noise=0.0",PET,-1.89,2.02,4.91,3.55,1.62
"Corr=0.0, Noise=0.025",P,-3.35,-2.62,3.08,-3.38,-2.62
"Corr=0.0, Noise=0.025",PET,-9.28,-18.65,-16.2,-18.07,-18.64
"Corr=0.5, Noise=0.0",P,-0.34,-0.2,4.37,-9.87,-9.63
"Corr=0.5, Noise=0.0",PET,-2.27,1.0,5.18,-310.86,-308.5
"Corr=0.5, Noise=0.025",P,-5.67,-6.0,-1.28,-12.46,-12.18
"Corr=0.5, Noise=0.025",PET,-12.85,-32.93,-29.25,-267.32,-265.59
